URL	method	time,max-age	post-params
https://k.river.go.jp/swin/geo/area/rough/20000.json	GET	4.3960000039078295	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/43000.json	GET	3.970000019762665	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/12000.json	GET	4.339000035542995	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/14000.json	GET	3.3499999553896487	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/22000.json	GET	4.281000001356006	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/35000.json	GET	4.569999990053475	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/28000.json	GET	4.14400000590831	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/03000.json	GET	4.535999963991344	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/01000.json	GET	4.4639999978244305	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/26000.json	GET	6.181999982800335	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/05000.json	GET	4.985000006854534	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/24000.json	GET	3.702000016346574	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/33000.json	GET	7.213000033516437	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/31000.json	GET	7.5110000325366855	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/07000.json	GET	5.606000020634383	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/10000.json	GET	3.962000017054379	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/09000.json	GET	4.220000002533197	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/45000.json	GET	3.734000027179718	max-age=3600	
https://k.river.go.jp/swin/api	POST	310.65500002866236	max-age=5	{"auth":{},"requests":[{"apiId":"getRanking","params":{"prefs":[{"code":"13000","name":"東京都"},{"code":"22000","name":"静岡県"},{"code":"14000","name":"神奈川県"},{"code":"19000","name":"山梨県"},{"code":"23000","name":"愛知県"},{"code":"12000","name":"千葉県"},{"code":"24000","name":"三重県"},{"code":"11000","name":"埼玉県"},{"code":"20000","name":"長野県"},{"code":"29000","name":"奈良県"},{"code":"21000","name":"岐阜県"},{"code":"30000","name":"和歌山県"},{"code":"10000","name":"群馬県"},{"code":"08000","name":"茨城県"},{"code":"25000","name":"滋賀県"},{"code":"09000","name":"栃木県"},{"code":"27000","name":"大阪府"},{"code":"18000","name":"福井県"},{"code":"16000","name":"富山県"},{"code":"26000","name":"京都府"},{"code":"17000","name":"石川県"},{"code":"28000","name":"兵庫県"},{"code":"07000","name":"福島県"},{"code":"15000","name":"新潟県"},{"code":"36000","name":"徳島県"},{"code":"37000","name":"香川県"},{"code":"33000","name":"岡山県"},{"code":"39000","name":"高知県"},{"code":"06000","name":"山形県"},{"code":"31000","name":"鳥取県"},{"code":"04000","name":"宮城県"},{"code":"38000","name":"愛媛県"},{"code":"34000","name":"広島県"},{"code":"32000","name":"島根県"},{"code":"05000","name":"秋田県"},{"code":"03000","name":"岩手県"},{"code":"35000","name":"山口県"},{"code":"44000","name":"大分県"},{"code":"45000","name":"宮崎県"},{"code":"02000","name":"青森県"},{"code":"43000","name":"熊本県"},{"code":"40000","name":"福岡県"},{"code":"41000","name":"佐賀県"},{"code":"42000","name":"長崎県"},{"code":"46000","name":"鹿児島県"},{"code":"01000","name":"北海道"},{"code":"47000","name":"沖縄県"}]},"tag":"getRanking_QgpBX18x","macro":null}]}
https://k.river.go.jp/page_log/obs_list.json	GET	81.2770000193268	max-age=5	
https://k.river.go.jp/img/unfold.png	GET	38.964000006671995	max-age=900	
https://k.river.go.jp/swin/api	POST	220.7489999836758	max-age=5	{"auth":{},"requests":[{"apiId":"getRiverObs","params":{"river":"100170001"},"tag":"getRiverObs_pJdJ9AqT","macro":null}]}
https://k.river.go.jp/swin/api	POST	196.39500002948193	max-age=5	{"auth":{},"requests":[{"apiId":"getRiverObs","params":{"river":"100240001"},"tag":"getRiverObs_XVHXYaPH","macro":null}]}
https://cyberjapandata.gsi.go.jp/xyz/pale/6/57/23.png	GET	11.036999989300966		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/57/24.png	GET	307.19299998462577		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/56/23.png	GET	15.626999957021326		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/58/23.png	GET	18.004999961704016		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/56/24.png	GET	22.877000039443374		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/58/24.png	GET	29.604999988805503		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/57/22.png	GET	0.3540290000382811		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/57/25.png	GET	29.498999996576458		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/56/22.png	GET	0.35448599996743724		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/58/22.png	GET	0.35622800001874566		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/56/25.png	GET	31.585999997332692		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/58/25.png	GET	41.08799999812618		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/55/23.png	GET	41.10499995294958		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/59/23.png	GET	39.70100003061816		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/55/24.png	GET	41.13199998391792		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/59/24.png	GET	41.18599998764694		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/57/21.png	GET	0.355204000021331		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/55/22.png	GET	0.35617400001501665		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/59/22.png	GET	0.3568589999922551		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/55/25.png	GET	40.43699998874217		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/59/25.png	GET	40.59599997708574		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/57/26.png	GET	41.85199999483302		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/56/21.png	GET	0.3569290000014007		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/58/21.png	GET	0.3576839999877848		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/56/26.png	GET	41.049999999813735		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/58/26.png	GET	40.98299995530397		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/55/21.png	GET	0.3570849999669008		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/59/21.png	GET	0.35823999997228384		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/55/26.png	GET	40.608000010252		
https://cyberjapandata.gsi.go.jp/xyz/pale/6/59/26.png	GET	39.70199998002499		
https://cyberjapandata.gsi.go.jp/xyz/pale/7/114/46.png	GET	0.37601800000993535		
https://cyberjapandata.gsi.go.jp/xyz/pale/7/115/46.png	GET	0.3758539999835193		
https://cyberjapandata.gsi.go.jp/xyz/pale/7/114/47.png	GET	19.257000007200986		
https://cyberjapandata.gsi.go.jp/xyz/pale/7/115/47.png	GET	0.37537399999564514		
https://cyberjapandata.gsi.go.jp/xyz/pale/7/114/45.png	GET	0.37530499999411404		
https://cyberjapandata.gsi.go.jp/xyz/pale/7/115/45.png	GET	0.37530600000172853		
https://cyberjapandata.gsi.go.jp/xyz/pale/7/113/46.png	GET	0.37516799999866635		
https://cyberjapandata.gsi.go.jp/xyz/pale/7/116/46.png	GET	0.3751310000079684		
https://cyberjapandata.gsi.go.jp/xyz/pale/7/113/47.png	GET	21.34400000795722		
https://cyberjapandata.gsi.go.jp/xyz/pale/7/116/47.png	GET	0.37445000000298023		
https://cyberjapandata.gsi.go.jp/xyz/pale/7/114/48.png	GET	24.062999989837408		
https://cyberjapandata.gsi.go.jp/xyz/pale/7/115/48.png	GET	24.141000001691282		
https://cyberjapandata.gsi.go.jp/xyz/pale/7/113/45.png	GET	0.37304999999469146		
